[10:21: 5:888] [INFO] Starting logger
[10:21: 5:891] [INFO] Starting logging #2
[10:21: 5:891] [INFO] Initializing Mountain Framework
[10:21: 6:419] [INFO] Loading directory ../Mountain/shaders_internal...
[10:21: 6:420] [INFO] Loading directory ../Mountain/shaders_internal/arc...
[10:21: 6:421] [INFO] Loading directory ../Mountain/shaders_internal/circle...
[10:21: 6:421] [INFO] Loading directory ../Mountain/shaders_internal/effects...
[10:21: 6:424] [INFO] Loading directory ../Mountain/shaders_internal/line...
[10:21: 6:424] [INFO] Loading directory ../Mountain/shaders_internal/line_colored...
[10:21: 6:425] [INFO] Loading directory ../Mountain/shaders_internal/particles...
[10:21: 6:426] [INFO] Loading directory ../Mountain/shaders_internal/particles/draw...
[10:21: 6:428] [INFO] Loading directory ../Mountain/shaders_internal/point...
[10:21: 6:428] [INFO] Loading directory ../Mountain/shaders_internal/rectangle...
[10:21: 6:429] [INFO] Loading directory ../Mountain/shaders_internal/render_target...
[10:21: 6:430] [INFO] Loading directory ../Mountain/shaders_internal/text...
[10:21: 6:431] [INFO] Loading directory ../Mountain/shaders_internal/texture...
[10:21: 6:431] [INFO] Loading directory ../Mountain/shaders_internal/triangle...
[10:21: 6:432] [INFO] Loading directory ../Mountain/shaders_internal/triangle_colored...
[10:21: 6:433] [INFO] Loading directory ../Mountain/assets_internal...
[10:21: 6:435] [INFO] Loading all resources from FileManager
