[14:33:29:183] [INFO] Starting logging #12
[14:33:29:183] [INFO] Initializing Mountain Framework
[14:33:29:687] [INFO] Loading directory ../Mountain/shaders_internal...
[14:33:29:687] [INFO] Loading directory ../Mountain/shaders_internal/arc...
[14:33:29:688] [INFO] Loading directory ../Mountain/shaders_internal/circle...
[14:33:29:690] [INFO] Loading directory ../Mountain/shaders_internal/effects...
[14:33:29:693] [INFO] Loading directory ../Mountain/shaders_internal/line...
[14:33:29:694] [INFO] Loading directory ../Mountain/shaders_internal/line_colored...
[14:33:29:695] [INFO] Loading directory ../Mountain/shaders_internal/particles...
[14:33:29:696] [INFO] Loading directory ../Mountain/shaders_internal/particles/draw...
[14:33:29:699] [INFO] Loading directory ../Mountain/shaders_internal/point...
[14:33:29:700] [INFO] Loading directory ../Mountain/shaders_internal/rectangle...
[14:33:29:701] [INFO] Loading directory ../Mountain/shaders_internal/render_target...
[14:33:29:702] [INFO] Loading directory ../Mountain/shaders_internal/text...
[14:33:29:703] [INFO] Loading directory ../Mountain/shaders_internal/texture...
[14:33:29:704] [INFO] Loading directory ../Mountain/shaders_internal/triangle...
[14:33:29:705] [INFO] Loading directory ../Mountain/shaders_internal/triangle_colored...
[14:33:29:706] [INFO] Loading directory ../Mountain/assets_internal...
[14:33:29:707] [INFO] Loading all resources from FileManager
